BeerID,Style,OG,ABV,IBU,Color,BoilTime,BoilGravity,Efficiency,BrewMethod
61651,American IPA,1.062,6.37,126.01,6.13,60,1.052,65.0,All Grain
61652,American Pale Ale,1.05,5.26,38.22,5.17,30,1.0590000000000002,86.0,BIAB
61653,American IPA,1.083,8.29,126.96,12.78,60,1.056,35.0,All Grain
61656,American Pale Ale,1.05,5.07,41.81,5.96,60,1.044,79.0,BIAB
61666,American IPA,1.07,6.62,41.33,7.56,60,1.051,70.0,All Grain
61667,American IPA,1.064,6.53,84.83,3.58,60,1.05,35.0,extract
61672,American Pale Ale,1.055,5.87,62.94,7.55,60,1.038,65.0,BIAB
61678,American IPA,1.062,6.55,70.26,3.88,60,1.1540000000000001,35.0,extract
61679,American IPA,1.051,5.03,89.47,5.68,60,1.0170000000000001,70.0,All Grain
61681,American IPA,1.06,6.16,76.65,7.43,60,1.044,62.0,All Grain
61689,American IPA,1.065,6.62,90.77,7.78,60,1.052,70.0,BIAB
61693,American IPA,1.061,6.0,52.93,7.73,60,1.055,70.0,All Grain
61696,American IPA,1.065,6.99,71.08,5.24,60,1.043,67.1,All Grain
61703,American Pale Ale,1.051,4.96,47.38,5.13,60,1.0390000000000001,75.0,All Grain
61708,American IPA,1.057,5.7,70.25,4.62,60,1.054,75.0,All Grain
61710,American Pale Ale,1.055,5.74,38.83,5.25,60,1.048,70.0,BIAB
61716,American IPA,1.0590000000000002,6.02,33.62,13.88,60,1.0490000000000002,66.0,All Grain
61717,American IPA,1.063,6.68,55.77,7.66,60,1.046,72.0,All Grain
61724,American Pale Ale,1.048,4.68,42.26,5.59,60,1.035,70.0,All Grain
61726,American Pale Ale,1.061,6.12,66.24,5.09,60,1.041,72.0,All Grain
61730,American Pale Ale,1.046,4.79,28.17,10.21,60,1.046,35.0,extract
61734,American Pale Ale,1.055,5.94,59.52,3.81,60,1.04,70.0,All Grain
61735,American Pale Ale,1.052,5.33,33.2,5.57,60,1.044,75.0,All Grain
61737,American IPA,1.064,6.22,0.0,7.02,60,1.047,75.0,All Grain
61738,American IPA,1.053,5.34,65.35,10.13,90,1.055,35.0,extract
61741,American IPA,1.065,6.2,101.76,6.2,45,1.0490000000000002,75.0,All Grain
61751,American Pale Ale,1.065,6.27,54.44,7.09,60,1.047,63.0,All Grain
61758,American IPA,1.07,6.53,82.24,7.49,60,1.064,75.0,All Grain
61764,American IPA,1.071,6.84,47.6,5.56,60,1.054,70.0,All Grain
61766,American IPA,1.064,6.59,42.92,9.84,60,1.09,65.0,All Grain
61773,American IPA,1.057,6.21,99.28,4.68,60,1.0490000000000002,75.0,All Grain
61776,American IPA,1.067,7.19,44.84,10.18,60,1.051,65.0,All Grain
61777,American IPA,1.06,6.07,119.57,10.7,60,1.053,63.0,All Grain
61786,American Pale Ale,1.053,5.43,40.06,4.33,75,1.037,81.0,All Grain
61787,American Pale Ale,1.051,5.22,48.23,7.2,60,1.042,70.0,All Grain
61788,American IPA,1.069,6.57,63.21,7.34,60,1.05,70.0,BIAB
61789,American Pale Ale,1.052,5.29,49.6,20.19,60,1.045,65.0,All Grain
61790,American IPA,1.0590000000000002,6.25,77.85,3.02,60,1.1179999999999999,35.0,extract
61791,American IPA,1.061,6.29,72.21,4.39,75,1.052,75.0,All Grain
61792,American IPA,1.055,5.89,57.52,12.4,90,1.055,35.0,extract
61798,American Pale Ale,1.044,4.77,32.36,6.61,60,1.036,70.0,All Grain
61803,American Pale Ale,1.05,5.51,177.26,4.53,60,1.043,78.0,All Grain
61810,American IPA,1.063,5.65,49.1,9.58,60,1.046,75.0,BIAB
61812,American Pale Ale,1.057,6.17,42.8,8.51,60,1.044,55.0,BIAB
61813,American IPA,1.074,7.42,81.74,5.57,60,1.054,80.0,All Grain
61814,American IPA,1.06,6.43,61.04,9.75,60,1.121,35.0,extract
61815,American Pale Ale,1.053,5.44,30.35,6.63,60,1.046,80.0,All Grain
61817,American Pale Ale,1.06,6.28,79.19,5.77,70,1.044,68.0,All Grain
61824,American Pale Ale,1.0590000000000002,5.88,52.28,8.26,60,1.047,75.0,All Grain
61827,American IPA,1.062,6.37,172.8,4.19,60,1.047,70.0,All Grain
61833,American IPA,1.06,6.37,54.69,8.04,120,1.05,70.0,All Grain
61837,American Pale Ale,1.054,5.37,28.47,5.07,75,1.045,75.0,All Grain
61840,American Pale Ale,1.053,5.06,38.03,8.04,90,1.04,75.0,All Grain
61844,American IPA,1.063,6.21,63.69,7.83,60,1.046,70.0,BIAB
61851,American Pale Ale,1.043,4.22,48.01,2.96,60,1.034,35.0,extract
61854,American Pale Ale,1.052,5.59,52.48,3.59,60,1.0390000000000001,70.0,BIAB
61863,American IPA,1.063,6.59,79.54,5.56,60,1.054,70.0,All Grain
61865,American Pale Ale,1.0490000000000002,5.21,64.08,8.01,60,1.036,78.0,BIAB
61870,American Pale Ale,1.046,4.7,33.76,6.02,60,1.037,75.0,All Grain
61875,American IPA,1.072,7.79,53.13,6.99,60,1.0659999999999998,75.0,All Grain
61878,American IPA,1.071,7.67,106.34,6.11,60,1.053,70.0,All Grain
61879,American IPA,1.0759999999999998,7.5,72.36,10.48,90,1.061,75.0,All Grain
61881,American Pale Ale,1.056,5.47,42.2,6.74,60,1.037,69.0,BIAB
61883,American Pale Ale,1.054,5.83,41.46,7.61,90,1.037,70.0,BIAB
61885,American IPA,1.061,6.15,52.58,4.91,60,1.041,60.0,BIAB
61886,American IPA,1.07,7.18,37.06,6.34,90,1.062,80.0,All Grain
61887,American IPA,1.06,6.28,20.07,3.83,60,1.044,85.0,All Grain
61888,American IPA,1.075,7.32,48.82,8.7,30,1.063,70.0,All Grain
61890,American IPA,1.063,6.19,71.93,6.59,60,1.046,70.0,All Grain
61896,American IPA,1.07,6.51,43.59,5.94,60,1.05,80.0,BIAB
61903,American IPA,1.063,6.79,85.34,10.42,60,1.052,80.0,All Grain
61904,American Pale Ale,1.065,6.56,69.92,6.25,60,1.13,50.0,extract
61905,American Pale Ale,1.063,6.84,55.96,7.16,60,1.037,75.0,All Grain
61907,American IPA,1.044,4.55,77.79,8.67,60,1.035,72.0,BIAB
61909,American Pale Ale,1.051,5.18,32.53,5.04,60,1.047,75.0,All Grain
61913,American Pale Ale,1.052,5.62,35.07,8.59,70,1.037,73.0,BIAB
61920,American IPA,1.079,8.58,156.29,5.34,60,1.063,75.0,BIAB
61923,American IPA,1.052,5.37,27.49,5.67,60,1.045,70.0,All Grain
61934,American IPA,1.057,6.0,48.38,6.95,60,1.048,70.0,All Grain
61936,American Pale Ale,1.053,5.08,71.8,12.71,60,1.048,70.0,All Grain
61937,American IPA,1.05,5.01,113.05,5.84,60,1.031,65.0,All Grain
61939,American Pale Ale,1.048,4.49,31.76,7.34,60,1.04,75.0,BIAB
61942,American IPA,1.056,5.36,77.95,3.63,30,1.052,79.0,All Grain
61944,American IPA,1.063,6.56,80.82,4.83,60,1.063,72.0,Partial Mash
